Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
5/29/1995,13,15.5,12,15.5,0,0,0,0,,,3.5,2.5
5/26/1995,12.5,13.75,12.5,13.75,0,0,0,0,,,1.25,1.25
5/25/1995,8,10,8,10,0,0,0,0,,,2,2
5/24/1995,7.5,8,7.5,8,0,0,0,0,,,0.5,0.5
5/23/1995,6.5,6.5,6.5,6.5,0,0,0,0,,,0,0
5/22/1995,3.75,3.75,3.75,3.75,0,0,0,0,,,0,0
5/18/1995,2.5,2.5,2.5,2.5,0,0,0,0,,,0,0
5/17/1995,1,1.5,1,1.5,0,0,0,0,,,0.5,0.5
5/3/1995,1,1,1,1,0,0,0,0,,,0,0
9/15/1993,2.5,2.5,2.5,2.5,0,0,0,0,,,0,0
2/16/1993,7.5,7.5,7.5,7.5,0,0,0,0,,,0,0
2/9/1993,10,10,10,10,0,0,0,0,,,0,0
2/3/1993,7.5,10,7.5,10,0,0,0,0,,,2.5,2.5
2/2/1993,8,8,8,8,0,0,0,0,,,0,0
1/21/1993,10,10,10,10,0,0,0,0,,,0,0
1/19/1993,9,11,9,11,0,0,0,0,,,2,2
1/18/1993,10,10,10,10,0,0,0,0,,,0,0
1/5/1993,10,10,10,10,0,0,0,0,,,0,0
12/23/1992,10,12.5,10,12.5,0,0,0,0,,,2.5,2.5
12/22/1992,10,12.5,10,12.5,0,0,0,0,,,2.5,2.5
12/21/1992,10,12.5,10,12.5,0,0,0,0,,,2.5,2.5
12/18/1992,10,12.5,10,12.5,0,0,0,0,,,2.5,2.5
12/17/1992,11.25,11.25,11.25,11.25,0,0,0,0,,,0,0
11/13/1992,11.25,11.25,11.25,11.25,0,0,0,0,,,0,0
11/12/1992,10,10,10,10,0,0,0,0,,,0,0
11/5/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
11/4/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
10/30/1992,15,17.5,15,17.5,0,0,0,0,,,2.5,2.5
10/22/1992,15,20,15,20,0,0,0,0,,,5,5
10/15/1992,18.5,18.5,18.5,18.5,0,0,0,0,,,0,0
10/9/1992,17.5,20,17.5,20,0,0,0,0,,,2.5,2.5
9/28/1992,17.5,17.5,17.5,17.5,0,0,0,0,,,0,0
